GeoType,NTAType,GeogName,GeoID,Borough,Pop_1E_TotalPop,MdHHIncE,MdEarningperWrkE,Hsp1E,Hsp1P-Hispanic,WtNHE,WtNHPWhite,BlNHE,BlNHP-Black,AIANNHE,AIANNHP-Am-Ind,AsnNHE,AsnNHP-Asian,NHPINHE,NHPINHP-NatHawaii-Pac-Is,OthNHE,OthNHP-Other,Rc2plNHE,Rc2plNHP-2more,EA_Pop25olderplE,EA_HScGrdE,EA_HScGrdP,EA_BchDHE,EA_BachandHigherDHP
NTA2020,0,Rego Park,QN0601,Queens,"30,274",76087,"52,955","5,721",18.9,"11,276",37.2,"1,006",3.3,0,,"11,281",37.3,34,0.1,305,1,651,2.2,"23,390","4,281",18.3,"12,266",52.4
NTA2020,0,Forest Hills,QN0602,Queens,"92,512",95991,"67,801","14,037",15.2,"44,837",48.5,"2,964",3.2,8,0,"25,531",27.6,0,,422,0.5,"4,713",5.1,"71,594","9,793",13.7,"44,331",61.9
NTA2020,0,College Point,QN0701,Queens,"31,377",73466,"35,813","12,775",40.7,"8,138",25.9,596,1.9,0,,"9,559",30.5,29,0.1,56,0.2,224,0.7,"21,936","6,982",31.8,"4,861",22.2
NTA2020,0,Whitestone-Beechhurst,QN0702,Queens,"31,085",87643,"47,512","4,408",14.2,"18,792",60.5,81,0.3,0,,"7,176",23.1,15,0,275,0.9,338,1.1,"23,115","5,786",25,"8,474",36.7
NTA2020,0,Bay Terrace-Clearview,QN0703,Queens,"23,745",94843,"59,427","3,332",14,"13,183",55.5,267,1.1,36,0.2,"6,290",26.5,0,,181,0.8,456,1.9,"18,076","3,345",18.5,"8,826",48.8
NTA2020,0,Murray Hill-Broadway Flushing,QN0704,Queens,"56,025",64954,"34,631","8,733",15.6,"12,196",21.8,791,1.4,42,0.1,"33,343",59.5,130,0.2,190,0.3,600,1.1,"43,112","12,064",28,"12,469",28.9
NTA2020,0,East Flushing,QN0705,Queens,"30,768",50166,"33,405","5,143",16.7,"4,211",13.7,695,2.3,303,1,"19,865",64.6,0,,125,0.4,426,1.4,"24,344","7,164",29.4,"6,244",25.6
NTA2020,0,Queensboro Hill,QN0706,Queens,"20,744",64390,"33,023","3,448",16.6,"2,674",12.9,259,1.2,43,0.2,"13,812",66.6,0,,214,1,294,1.4,"14,875","4,241",28.5,"3,993",26.8
NTA2020,0,Flushing-Willets Point,QN0707,Queens,"59,360",44322,"29,231","7,370",12.4,"4,854",8.2,"1,665",2.8,169,0.3,"44,229",74.5,7,0,251,0.4,815,1.4,"46,949","13,474",28.7,"10,758",22.9
NTA2020,0,Kew Gardens Hills,QN0801,Queens,"35,489",80864,"44,882","5,414",15.3,"17,791",50.1,"2,717",7.7,75,0.2,"8,349",23.5,0,,93,0.3,"1,050",3,"23,238","4,990",21.5,"11,326",48.7
